CodigoPais;Zona;SucursalAlquiler;Mes;Fecha;Res_CY;Res_LY;Dias_CY;Dias_LY;Rental_rate_rev_CY;Rental_rate_rev_LY;Ancillaries_CY;Ancillaries_LY;SDR_CY;SDR_LY;Origin_App;Brand
ES;Andalusia;AGP;1/2/20;22/2/20;10;18;60;141;372,3049;156,1192736;0;0;0;0;Sigger;Rhodium
ES;Andalusia;AGP;1/2/20;24/2/20;80;48;844;497;2606,390909;948,4281421;0;0;0;0;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/2/20;24/2/20;1;;3;;25,3376;;0;;0;;Sigger;InterRent MT
ES;Andalusia;AGP;1/2/20;24/2/20;1;5;10;28;30,7604;67,5322;0;0;0;0;Sigger;Rhodium
ES;Andalusia;AGP;1/2/20;25/2/20;20;22;214;198;767,8941;248,2625;0;0;0;0;Sigger;InterRent
ES;Andalusia;AGP;1/2/20;25/2/20;5;5;74;44;627,8166;54,5806;0;0;0;0;Sigger;Rhodium
ES;Andalusia;AGP;1/2/20;27/2/20;105;97;798;831;2741,271729;2268,281626;0;0;0;0;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/2/20;27/2/20;26;29;240;235;621,4801182;467,0214744;0;0;0;0;Sigger;InterRent
ES;Andalusia;AGP;1/2/20;27/2/20;4;;21;;140,7027669;;0;;0;;Sigger;InterRent MT
ES;Andalusia;AGP;1/2/20;27/2/20;5;17;41;119;448,329;307,6864;0;0;0;0;Sigger;Rhodium
ES;Andalusia;AGP;1/2/20;28/2/20;20;37;142;273;463,3747438;848,6773587;0;0;0;0;Sigger;InterRent
ES;Andalusia;AGP;1/2/20;29/2/20;79;75;895;656;2866,964996;2671,50471;0;0;0;0;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/2/20;29/2/20;1;7;11;38;29,6873;38,8282;0;0;0;0;Sigger;Rhodium
ES;Andalusia;AGP;1/3/20;1/3/20;50;59;700;615;2230,712057;1999,672682;0;0;0;0;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/3/20;1/3/20;11;15;96;127;305,1671289;418,3045;0;0;0;0;Sigger;InterRent
ES;Andalusia;AGP;1/3/20;1/3/20;1;;10;;10,8973;;0;;0;;Sigger;InterRent MT
ES;Andalusia;AGP;1/3/20;1/3/20;4;7;37;52;191,2232;122,5961;0;0;0;0;Sigger;Rhodium
ES;Andalusia;AGP;1/3/20;3/3/20;44;42;618;484;2216,481774;1374,458319;0;0;0;0;Sigger;Goldcar/Pulsar
